age;gender;income;education;marital_status;number_of_children;home_ownership;credit_score
52;Male;125000;High School Diploma;Married;0;Owned;High
30;Male;112500;Master's Degree;Married;2;Owned;High
33;Female;82000;Master's Degree;Married;1;Owned;High
26;Female;45000;Associate's Degree;Single;0;Rented;Average
31;Male;67500;Bachelor's Degree;Single;0;Rented;Average
40;Male;125000;High School Diploma;Single;0;Owned;High
53;Male;115000;Associate's Degree;Married;0;Owned;High
29;Female;27500;High School Diploma;Single;0;Rented;Low
45;Female;110000;Bachelor's Degree;Married;3;Owned;High
44;Male;87500;Master's Degree;Single;0;Owned;High
52;Male;137500;High School Diploma;Married;0;Owned;High
27;Female;37500;High School Diploma;Single;0;Rented;Low
53;Male;125000;Associate's Degree;Married;0;Owned;High
43;Male;92500;Master's Degree;Single;0;Owned;High
43;Male;92500;Master's Degree;Single;0;Owned;High
30;Male;100000;Master's Degree;Married;2;Owned;High
44;Male;87500;Master's Degree;Single;0;Owned;High
29;Female;25000;High School Diploma;Single;0;Rented;Low
40;Male;130000;High School Diploma;Single;0;Owned;High
48;Female;87500;Doctorate;Married;1;Owned;High
41;Male;105000;Doctorate;Single;0;Owned;High
49;Female;65000;Doctorate;Married;1;Owned;High
35;Female;75000;Doctorate;Married;1;Owned;High
49;Female;77500;Doctorate;Married;1;Owned;High
46;Female;97500;High School Diploma;Married;1;Owned;High
35;Female;90000;Doctorate;Married;1;Owned;High
25;Female;57500;Bachelor's Degree;Single;0;Rented;Average
32;Male;57500;Associate's Degree;Single;0;Rented;Average
26;Female;50000;Associate's Degree;Single;0;Rented;Average
44;Male;87500;Master's Degree;Single;0;Owned;High
26;Female;55000;Bachelor's Degree;Married;1;Owned;Average
53;Male;122500;Associate's Degree;Married;0;Owned;High
47;Female;95000;Doctorate;Married;1;Owned;High
46;Female;102500;High School Diploma;Married;1;Owned;High
37;Female;75000;Bachelor's Degree;Married;2;Owned;High
36;Female;95000;Master's Degree;Married;2;Owned;High
34;Male;47500;Associate's Degree;Single;0;Rented;Average
27;Female;37500;High School Diploma;Single;0;Rented;Low
30;Male;117500;Master's Degree;Married;2;Owned;High
36;Female;80000;Master's Degree;Married;2;Owned;High
31;Male;65000;Bachelor's Degree;Single;0;Rented;Average
39;Female;62500;Bachelor's Degree;Married;2;Owned;High
46;Female;95000;High School Diploma;Married;1;Owned;High
25;Female;57500;Bachelor's Degree;Single;0;Rented;Average
41;Male;115000;Doctorate;Single;0;Owned;High
33;Male;52500;High School Diploma;Single;0;Rented;Average
28;Male;75000;Bachelor's Degree;Single;0;Rented;Average
27;Female;37500;High School Diploma;Single;0;Rented;Low
46;Female;90000;High School Diploma;Married;1;Owned;High
38;Female;67500;Bachelor's Degree;Married;2;Owned;High
