age;gender;income;education;marital_status;number_of_children;home_ownership;credit_score
25;0;50000;2.0;1;0;1;2.0
30;1;100000;3.0;0;2;0;2.0
35;0;75000;4.0;0;1;0;2.0
40;1;125000;0.0;1;0;0;2.0
45;0;100000;2.0;0;3;0;2.0
50;1;150000;3.0;0;0;0;2.0
26;0;40000;1.0;1;0;1;1.0
31;1;60000;2.0;1;0;1;1.0
36;0;80000;3.0;0;2;0;2.0
41;1;105000;4.0;1;0;0;2.0
46;0;90000;0.0;0;1;0;2.0
51;1;135000;2.0;0;0;0;2.0
27;0;35000;0.0;1;0;1;0.0
32;1;55000;1.0;1;0;1;1.0
37;0;70000;2.0;0;2;0;2.0
42;1;95000;3.0;1;0;0;2.0
47;0;85000;4.0;0;1;0;2.0
52;1;125000;0.0;0;0;0;2.0
28;0;30000;1.0;1;0;1;0.0
33;1;50000;0.0;1;0;1;1.0
38;0;65000;2.0;0;2;0;2.0
43;1;80000;3.0;1;0;0;2.0
48;0;70000;4.0;0;1;0;2.0
53;1;115000;1.0;0;0;0;2.0
29;0;25000;0.0;1;0;1;0.0
34;1;45000;1.0;1;0;1;1.0
39;0;60000;2.0;0;2;0;2.0
44;1;75000;3.0;1;0;0;2.0
49;0;65000;4.0;0;1;0;2.0
25;0;55000;2.0;1;0;1;1.0
30;1;105000;3.0;0;2;0;2.0
35;0;80000;4.0;0;1;0;2.0
40;1;130000;0.0;1;0;0;2.0
45;0;105000;2.0;0;3;0;2.0
50;1;155000;3.0;0;0;0;2.0
26;0;45000;1.0;1;0;1;1.0
31;1;65000;2.0;1;0;1;1.0
36;0;85000;3.0;0;2;0;2.0
41;1;110000;4.0;1;0;0;2.0
46;0;95000;0.0;0;1;0;2.0
51;1;140000;2.0;0;0;0;2.0
27;0;37500;0.0;1;0;1;0.0
32;1;57500;1.0;1;0;1;1.0
37;0;72500;2.0;0;2;0;2.0
42;1;100000;3.0;1;0;0;2.0
47;0;90000;4.0;0;1;0;2.0
52;1;130000;0.0;0;0;0;2.0
28;0;32500;1.0;1;0;1;0.0
33;1;52500;0.0;1;0;1;1.0
38;0;67500;2.0;0;2;0;2.0
43;1;92500;3.0;1;0;0;2.0
48;0;82500;4.0;0;1;0;2.0
53;1;122500;1.0;0;0;0;2.0
29;0;27500;0.0;1;0;1;0.0
34;1;47500;1.0;1;0;1;1.0
39;0;62500;2.0;0;2;0;2.0
44;1;87500;3.0;1;0;0;2.0
49;0;77500;4.0;0;1;0;2.0
25;0;57500;2.0;1;0;1;1.0
30;1;112500;3.0;0;2;0;2.0
35;0;85000;4.0;0;1;0;2.0
25;0;60000;2.0;1;0;1;1.0
30;1;117500;3.0;0;2;0;2.0
35;0;90000;4.0;0;1;0;2.0
40;1;142500;0.0;1;0;0;2.0
45;0;110000;2.0;0;3;0;2.0
50;1;160000;3.0;0;0;0;2.0
26;0;47500;1.0;1;0;1;1.0
31;1;67500;2.0;1;0;1;1.0
36;0;90000;3.0;0;2;0;2.0
41;1;115000;4.0;1;0;0;2.0
46;0;97500;0.0;0;1;0;2.0
51;1;145000;2.0;0;0;0;2.0
27;0;37500;0.0;1;0;1;0.0
32;1;57500;1.0;1;0;1;1.0
37;0;75000;2.0;0;2;0;2.0
42;1;105000;3.0;1;0;0;2.0
47;0;95000;4.0;0;1;0;2.0
52;1;135000;0.0;0;0;0;2.0
28;0;32500;1.0;1;0;1;0.0
33;1;52500;0.0;1;0;1;1.0
38;0;67500;2.0;0;2;0;2.0
43;1;92500;3.0;1;0;0;2.0
48;0;85000;4.0;0;1;0;2.0
53;1;125000;1.0;0;0;0;2.0
29;0;27500;0.0;1;0;1;0.0
34;1;47500;1.0;1;0;1;1.0
39;0;62500;2.0;0;2;0;2.0
44;1;87500;3.0;1;0;0;2.0
49;0;77500;4.0;0;1;0;2.0
25;0;57500;2.0;1;0;1;1.0
30;1;112500;3.0;0;2;0;2.0
35;0;85000;4.0;0;1;0;2.0
25;0;62500;2.0;1;0;1;1.0
30;1;117500;3.0;0;2;0;2.0
35;0;90000;4.0;0;1;0;2.0
40;1;142500;0.0;1;0;0;2.0
45;0;115000;2.0;0;3;0;2.0
50;1;162500;3.0;0;0;0;2.0
26;0;50000;1.0;1;0;1;1.0
31;1;70000;2.0;1;0;1;1.0
36;0;95000;3.0;0;2;0;2.0
41;1;120000;4.0;1;0;0;2.0
46;0;102500;0.0;0;1;0;2.0
51;1;150000;2.0;0;0;0;2.0
27;0;37500;0.0;1;0;1;0.0
32;1;57500;1.0;1;0;1;1.0
37;0;77500;2.0;0;2;0;2.0
42;1;110000;3.0;1;0;0;2.0
47;0;97500;4.0;0;1;0;2.0
52;1;137500;0.0;0;0;0;2.0
28;0;32500;1.0;1;0;1;0.0
33;1;52500;0.0;1;0;1;1.0
38;0;67500;2.0;0;2;0;2.0
43;1;95000;3.0;1;0;0;2.0
48;0;87500;4.0;0;1;0;2.0
53;1;127500;1.0;0;0;0;2.0
29;0;27500;0.0;1;0;1;0.0
34;1;47500;1.0;1;0;1;1.0
39;0;62500;2.0;0;2;0;2.0
44;1;87500;3.0;1;0;0;2.0
49;0;77500;4.0;0;1;0;2.0
25;0;57500;2.0;1;0;1;1.0
30;1;112500;3.0;0;2;0;2.0
35;0;85000;4.0;0;1;0;2.0
25;0;60000;2.0;1;0;1;1.0
30;1;117500;3.0;0;2;0;2.0
35;0;90000;4.0;0;1;0;2.0
28;1;75000;2.0;1;0;1;1.0
33;0;82000;3.0;0;1;0;2.0
31;1;95000;4.0;1;0;1;2.0
26;0;55000;2.0;0;1;0;1.0
32;1;85000;3.0;1;0;1;2.0
29;0;68000;4.0;0;2;0;1.0
34;1;105000;2.0;0;1;1;2.0
25;0;55000;2.0;1;0;1;1.0
30;1;105000;3.0;0;2;0;2.0
35;0;80000;4.0;0;1;0;2.0
40;1;130000;0.0;1;0;0;2.0
45;0;105000;2.0;0;3;0;2.0
50;1;155000;3.0;0;0;0;2.0
26;0;45000;1.0;1;0;1;1.0
31;1;65000;2.0;1;0;1;1.0
36;0;85000;3.0;0;2;0;2.0
41;1;110000;4.0;1;0;0;2.0
46;0;95000;0.0;0;1;0;2.0
51;1;140000;2.0;0;0;0;2.0
27;0;37500;0.0;1;0;1;0.0
32;1;57500;1.0;1;0;1;1.0
37;0;72500;2.0;0;2;0;2.0
42;1;100000;3.0;1;0;0;2.0
47;0;90000;4.0;0;1;0;2.0
52;1;130000;0.0;0;0;0;2.0
28;0;32500;1.0;1;0;1;0.0
